shape	dist	trans	k_eff	kryl_iter	time
0.11	0.1	1	1.49999891787	4	4.448227989
0.13	0.1	0	1.50004648238	5	5.051326861
0.13	0.1	1	1.50004648238	5	4.669514743
0.14	0.05	0	failed to execute
0.14	0.05	1	failed to execute
0.14	0.1	0	1.49985882989	4	4.979116914
0.14	0.1	1	1.49985882989	4	5.054849554
0.15	0.05	0	1.49987209832	5	27.474823857
0.15	0.05	1	1.49987209832	5	27.805033978
0.15	0.1	0	1.49985698096	4	4.640918947
0.12	0.05	0	failed to execute
0.15	0.1	1	1.49985698096	4	4.290738544
0.16	0.05	0	1.49983098984	4	21.836829849
0.16	0.05	1	1.49983098984	4	21.856255939
0.16	0.1	0	1.49981935172	4	4.278382725
0.16	0.1	1	1.49981935172	4	4.182061577
0.17	0.05	0	1.49982644129	4	21.940977948
0.17	0.05	1	1.49982644129	4	21.943379683
0.17	0.1	0	1.49976545574	4	4.270971616
0.17	0.1	1	1.49976545574	4	4.307913952
0.18	0.05	0	1.49975936244	4	21.149224013
0.12	0.05	1	failed to execute
0.12	0.1	0	1.49999066865	4	4.690150506
0.12	0.1	1	1.49999066865	4	4.679971968
0.18	0.05	1	1.49975936244	4	20.604384357
0.18	0.1	0	1.49969782134	4	4.250234152
0.18	0.1	1	1.49969782134	4	4.216369209
0.19	0.05	0	1.49970654026	4	21.215165453
0.19	0.05	1	1.49970654026	4	21.477933762
0.19	0.1	0	1.49961754902	4	4.339818094
0.19	0.1	1	1.49961754902	4	4.401529251
0.2	0.05	0	1.49963598186	4	22.753854559
0.2	0.05	1	1.49963598186	4	21.413913695
0.1	0.05	0	32.4939982926	5	798.982397096
0.2	0.1	0	1.49952560806	4	3.987348791
0.2	0.1	1	1.49952560806	4	4.057146994
0.21	0.05	0	1.4995531493	4	21.360445256
0.21	0.05	1	1.4995531493	4	24.028638937
0.21	0.1	0	1.49942294063	4	4.418528678
0.21	0.1	1	1.49942294063	4	4.450325388
0.22	0.05	0	1.49945934206	4	21.665163857
0.22	0.05	1	1.49945934206	4	21.816075351
0.22	0.1	0	1.49931054848	5	5.214435441
0.22	0.1	1	1.49931054848	5	5.242775385
0.23	0.05	0	1.49935540767	4	23.105318668
0.23	0.05	1	1.49935540767	4	21.428088616
0.23	0.1	0	1.49918955158	5	5.168002896
0.23	0.1	1	1.49918955158	5	5.321429195
0.24	0.05	0	1.49924209028	4	21.943191389
0.24	0.05	1	1.49924209028	4	22.017493217
0.24	0.1	0	1.49906088364	5	5.201160563
0.24	0.1	1	1.49906088364	5	5.173595807
0.25	0.05	0	1.49912011547	4	22.309921007
0.25	0.05	1	1.49912011547	4	23.224206875
0.25	0.1	0	1.4989255677	5	5.412195059
0.25	0.1	1	1.4989255677	5	5.257743527
0.26	0.05	0	1.49899021766	4	23.995844615
0.26	0.05	1	1.49899021766	4	24.682961064
0.26	0.1	0	1.49878454833	5	6.535830149
0.26	0.1	1	1.49878454833	5	5.992749518
0.27	0.05	0	1.49885314653	4	24.63025326
0.13	0.05	0	12.8799941471	6	981.245097012
0.27	0.05	1	1.49885314653	4	24.065602702
0.27	0.1	0	1.49863870631	5	6.139212589
0.27	0.1	1	1.49863870631	5	6.010204726
0.28	0.05	0	1.49870966829	4	24.513678637
0.1	0.05	1	32.4939982926	5	862.034481482
0.1	0.1	0	8.84715004079	6	17.419654577
0.1	0.1	1	8.84715004079	6	17.923642737
0.28	0.05	1	1.49870966829	4	24.152461944
0.28	0.1	0	1.49848885228	5	6.032335283
0.28	0.1	1	1.49848885228	5	5.054005268
0.29	0.05	0	1.49856055523	4	21.45215205
0.29	0.05	1	1.49856055523	4	21.405679063
0.29	0.1	0	1.49833572056	5	5.35700025
0.29	0.1	1	1.49833572056	5	5.275983833
0.11	0.05	0	failed to execute
0.13	0.05	1	12.8799941471	6	916.733383449
