shape	dist	ord	k_eff	kryl_iter	time
shape	dist	ord	k_eff	kryl_iter	time
0.2	0.05	1	0.49160821942	6	20.3710584
0.3	0.05	1	0.490725666533	6	20.642785202
0.2	0.05	2	0.484195202149	6	151.103041554
0.3	0.05	2	0.483334439395	6	153.321817941
shape	dist	ord	k_eff	kryl_iter	time
0.3	0.1	1	0.490879886324	7	4.135521071
0.2	0.1	1	0.491511801044	7	4.291033544
0.3	0.1	2	0.48413894279	7	35.274401276
0.2	0.1	2	0.484622002453	7	36.204502197
0.3	0.1	3	0.484603223407	6	359.718474986
0.4	0.1	1	0.490719677613	7	4.385199789
shape	dist	ord	k_eff	kryl_iter	time
0.2	0.05	1	0.49160821942	6	19.851372698
0.2	0.1	2	0.484622002453	7	34.97464719
0.3	0.05	1	0.490725666533	6	20.97245063
shape	dist	ord	k_eff	kryl_iter	time
0.2	0.05	1	0.49160821942	6	19.826132948
0.5	0.1	2	0.483948973608	7	34.168048011
0.6	0.05	1	0.489600884335	6	20.185524154
0.2	0.05	2	0.484195202149	6	147.195219304
0.2	0.1	1	0.491511801044	7	4.333978247
0.6	0.05	2	0.482223576634	6	147.756088116
0.6	0.1	1	0.490389954959	7	4.215454136
0.2	0.1	2	0.484622002453	7	35.476733539
0.3	0.05	1	0.490725666533	6	20.316915185
0.6	0.1	2	0.483833543223	7	34.862466
0.7	0.05	1	0.489470095858	6	20.168786003
0.3	0.05	2	0.483334439395	6	149.498997009
0.3	0.1	1	0.490879886324	7	4.168064418
0.7	0.05	2	0.482072483947	6	146.688124026
0.7	0.1	1	0.490246138843	7	4.168813901
0.3	0.1	2	0.48413894279	7	34.62683964
0.7	0.1	2	0.48371679207	7	34.864015926
0.4	0.05	1	0.490128410159	6	20.381613425
0.8	0.05	1	0.489365567049	6	20.071240961
0.4	0.05	2	0.482797053905	6	150.107459266
0.4	0.1	1	0.490719677613	7	4.235063743
0.8	0.05	2	0.481965005064	6	146.897897237
0.8	0.1	1	0.490132485725	7	4.246554335
0.4	0.1	2	0.484045673342	6	31.014049811
0.8	0.1	2	0.483609795019	6	30.740362565
0.5	0.05	1	0.489792814394	6	20.641880291
0.9	0.05	1	0.48927658987	6	20.363141519
