shape	dist	trans	k_eff	kryl_iter	time
0.13	0.1	0	0.49454296374	8	6.890800595
0.11	0.1	1	1.64320100844	7	21.182765155
0.13	0.1	1	0.866536764734	8	11.445537201
0.14	0.05	0	0.435159819289	12	94.367048803
0.14	0.05	1	0.550847673151	7	32.091094839
0.14	0.1	0	0.493548791523	7	6.450566986
0.14	0.1	1	0.762658850212	7	7.859564698
0.15	0.05	0	0.475771176925	8	43.881527405
0.15	0.05	1	0.551758351994	7	31.696748623
0.15	0.1	0	0.492974211458	7	5.923867371
0.15	0.1	1	0.716079056661	7	7.023783742
0.16	0.05	0	0.486645965675	7	29.239387417
0.16	0.05	1	0.552648820282	7	29.961646974
0.16	0.1	0	0.492540424911	7	5.946040463
0.16	0.1	1	0.68483960545	7	6.87441551
0.17	0.05	0	0.489850218396	7	28.292945023
0.17	0.05	1	0.553244728295	6	26.804120633
0.17	0.1	0	0.492191938252	7	5.628655311
0.17	0.1	1	0.667113479953	7	6.464119776
0.18	0.05	0	0.491040997322	7	28.433948796
0.18	0.05	1	0.553618718683	6	29.19480211
0.18	0.1	0	0.491911920864	7	6.016111665
0.18	0.1	1	0.656742606701	7	6.737936958
0.19	0.05	0	0.491485666301	6	24.724090121
0.19	0.05	1	0.553914851204	6	24.039298993
0.19	0.1	0	0.491688752247	7	5.422420717
0.19	0.1	1	0.650489423913	7	6.16614769
0.1	0.05	0	10.3290742887	5	899.291590451
0.2	0.05	0	0.49160821942	6	23.037303022
0.2	0.05	1	0.554205410794	6	25.43763673
0.2	0.1	0	0.491511801044	7	5.799960525
0.2	0.1	1	0.646654583702	7	7.269751316
0.21	0.05	0	0.491587174115	6	24.44757359
0.21	0.05	1	0.554619384622	6	26.550420078
0.21	0.1	0	0.491371685307	7	5.296251295
0.21	0.1	1	0.644295145265	7	5.642549863
0.22	0.05	0	0.491504551216	6	23.545684353
0.22	0.05	1	0.55555229426	6	26.577139037
0.22	0.1	0	0.491260574042	7	5.320768008
0.22	0.1	1	0.642857896977	7	5.496881125
0.23	0.05	0	0.491398913249	6	23.65259953
0.23	0.05	1	0.563357979041	6	29.377971543
0.23	0.1	0	0.491172167792	7	5.323463485
0.23	0.1	1	0.642004512337	7	5.543578107
0.24	0.05	0	0.491288102591	6	24.076201958
0.24	0.05	1	0.550387993713	6	26.70465149
0.24	0.1	0	0.491101485471	7	5.249529961
0.24	0.1	1	0.641522526811	7	5.310899848
0.25	0.05	0	0.491179873262	6	21.323798509
0.25	0.05	1	0.552320751177	6	21.363297441
0.25	0.1	0	0.49104461312	7	4.582489586
0.25	0.1	1	0.641276597556	7	5.240910815
0.26	0.05	0	0.491077170424	6	21.37873047
0.26	0.05	1	0.552876893184	6	21.825677046
0.26	0.1	0	0.490998477089	7	4.472050041
0.26	0.1	1	0.641179975801	7	4.938634208
0.12	0.05	0	1.86132002991	11	1726.99575404
0.27	0.05	0	0.490980727284	6	21.138696778
0.27	0.05	1	0.553157958214	6	22.063907182
0.27	0.1	0	0.490960657275	7	4.600904782
0.27	0.1	1	0.641177063751	7	4.935776531
0.12	0.05	1	0.445821522608	12	69.231942991
0.12	0.1	0	0.497443440006	8	6.286336162
0.28	0.05	0	0.49089034807	6	20.861775992
0.12	0.1	1	1.43800432738	7	13.335357057
0.28	0.05	1	0.553337536244	6	21.232802031
0.28	0.1	0	0.490929236417	7	4.40308102
0.28	0.1	1	0.641232380768	7	4.869593724
0.29	0.05	0	0.490805515764	6	21.460022779
0.13	0.05	0	0.491746016544	11	85.255483897
0.29	0.05	1	0.553468352761	6	21.62808653
0.29	0.1	0	0.490902714813	7	4.498074222
0.29	0.1	1	0.641323438586	7	4.976551632
0.13	0.05	1	0.538406624389	9	37.280659937
shape	dist	trans	k_eff	kryl_iter	time
0.5	0.1	0	0.490556113954	7	5.509636826
0.5	0.1	1	0.644576640129	6	4.906520607
0.8	0.05	0	0.489365567049	6	28.441818698
0.3	0.05	0	0.490725666533	6	29.245306128
0.6	0.05	0	0.489600884335	6	30.179254737
0.8	0.05	1	0.553283715631	6	31.516116788
0.3	0.05	1	0.553571727723	6	32.880406263
0.8	0.1	0	0.490132485725	7	6.791751575
0.3	0.1	0	0.490879886324	7	6.995439207
0.6	0.05	1	0.553767689511	6	31.955415729
0.8	0.1	1	0.650026251429	6	6.398711051
0.3	0.1	1	0.641436194485	7	7.260858725
0.6	0.1	0	0.490389954959	7	7.483493405
0.6	0.1	1	0.646430906526	6	6.162946071
0.9	0.05	0	0.48927658987	6	31.9326508
0.4	0.05	0	0.490128410159	6	32.93915929
0.7	0.05	0	0.489470095858	6	30.222115152
0.9	0.05	1	0.553167535951	6	29.092635316
0.4	0.05	1	0.554063775462	6	31.608831081
0.9	0.1	0	0.490046880582	7	7.172470864
0.4	0.1	0	0.490719677613	7	7.362610132
0.9	0.1	1	0.65166807507	6	6.762516875
0.7	0.05	1	0.553492821016	6	34.101490009
0.4	0.1	1	0.642875966061	7	7.466265425
0.7	0.1	0	0.490246138843	7	7.631398866
0.7	0.1	1	0.648274582653	6	6.425885323
1.0	0.1	0	0.489983995997	7	7.232462812
1.0	0.1	1	0.653207038224	7	7.659525279
1.0	0.05	0	0.489199951175	6	31.852959343
0.5	0.05	0	0.489792814394	6	32.318899128
1.1	0.05	0	0.489133841027	6	33.296823941
1.0	0.05	1	0.553123200681	6	34.483336196
0.5	0.05	1	0.554031175429	6	34.537332562
1.5	0.1	0	0.489852476874	8	7.819479667
1.5	0.1	1	0.659742959778	7	7.27188712
1.1	0.05	1	0.553134319427	6	31.449285385
1.3	0.05	0	0.489026565766	6	30.004389145
1.1	0.1	0	0.489938374599	7	6.240516425
1.1	0.1	1	0.654655580217	7	6.077988204
1.6	0.05	0	0.488908665121	6	25.442208856
1.3	0.05	1	0.55326300495	7	31.378545254
1.3	0.1	0	0.48988177457	7	5.352320926
1.2	0.05	0	0.489076560535	6	24.131393427
1.3	0.1	1	0.657324880406	7	5.867044286
1.6	0.05	1	0.553581046392	7	30.649898079
1.6	0.1	0	0.489843650921	8	6.635008134
1.6	0.1	1	0.660872168256	7	5.433151158
1.2	0.05	1	0.553185063949	6	24.528684461
1.4	0.05	0	0.488982564246	6	23.060301142
1.2	0.1	0	0.489905464074	7	5.424000308
1.2	0.1	1	0.656025120494	7	5.678300954
1.7	0.05	0	0.488877340379	6	25.712886876
1.4	0.05	1	0.553359020987	7	32.388747946
1.4	0.1	0	0.489864732418	7	5.521687313
1.8	0.05	0	0.488849063907	6	23.837187226
1.4	0.1	1	0.658562184102	7	5.250018981
1.7	0.05	1	0.553699203481	7	28.124510335
1.7	0.1	0	0.489837287598	8	5.569288759
1.7	0.1	1	0.661954029415	7	5.585467385
2.0	0.1	0	0.489826760558	8	6.271514402
1.8	0.05	1	0.553818776821	7	27.70204784
1.5	0.05	0	0.488943532654	6	23.085036301
2.0	0.1	1	0.664950104579	8	5.58962509
1.8	0.1	0	0.489832672852	8	5.581357645
1.8	0.1	1	0.662992216024	8	6.843037436
1.5	0.05	1	0.553466572566	7	27.588821835
2.1	0.05	0	0.488778870568	7	25.43093436
1.9	0.05	0	0.488823435757	7	25.565142218
2.3	0.05	0	0.488741594958	7	30.073449425
2.1	0.05	1	0.554172479432	7	31.755001923
2.1	0.1	0	0.489824796297	8	6.24111478
1.9	0.05	1	0.553938186249	7	30.087377403
2.1	0.1	1	0.665875201406	8	6.370455871
1.9	0.1	0	0.48982929132	8	6.042488168
1.9	0.1	1	0.663989956234	8	5.968989739
2.3	0.05	1	0.554396905716	7	27.649969813
2.3	0.1	0	0.489821759891	9	8.170499989
2.3	0.1	1	0.667629074531	8	7.201552812
2.2	0.05	0	0.488759425382	7	30.493820659
2.0	0.05	0	0.488800129802	7	28.2371998
2.4	0.05	0	0.488725206832	7	27.652450333
2.2	0.05	1	0.554286111234	7	28.852303078
2.0	0.05	1	0.554056336959	7	28.662962224
2.2	0.1	0	0.489823177455	9	6.671813679
2.2	0.1	1	0.666767514651	8	7.251586587
2.5	0.1	0	0.489819047674	9	7.48530992
2.5	0.1	1	0.669267083295	8	7.160373775
2.4	0.05	1	0.554504664383	7	30.358657253
2.4	0.1	0	0.489820414055	9	9.714429477
2.4	0.1	1	0.668461714835	8	8.499851141
2.8	0.05	0	0.488671341668	7	35.076476082
2.6	0.05	0	0.488696176207	7	32.83468904
2.5	0.05	0	0.488710111025	7	31.743682907
2.8	0.05	1	0.554904065139	7	31.97866519
2.6	0.05	1	0.554710708379	7	32.01042296
2.8	0.1	0	0.489814203497	9	7.709438713
2.8	0.1	1	0.671533874028	9	7.869411317
2.6	0.1	0	0.489817590526	9	7.483305557
2.6	0.1	1	0.670046678078	8	5.84884749
2.5	0.05	1	0.554609279111	7	27.989393253
3.0	0.1	0	0.489809964608	10	6.59700055
3.0	0.1	1	0.672932813708	9	7.3663095
2.9	0.05	0	0.488660250238	7	24.175108683
2.7	0.05	0	0.488683286977	7	23.016621316
2.9	0.05	1	0.55499609338	7	22.965768109
2.7	0.05	1	0.554808957653	7	23.400244409
2.9	0.1	0	0.489812203116	10	6.089904916
2.9	0.1	1	0.672243842435	9	5.545029587
2.7	0.1	0	0.489815989267	9	5.258187555
2.7	0.1	1	0.670801867343	9	5.474581956
3.0	0.05	0	0.48864993294	7	21.539995669
3.0	0.05	1	0.555085120101	7	24.101817699
shape	dist	trans	k_eff	kryl_iter	time
0.2	0.025	0	0.489662084934	6	94.758235737
shape	dist	trans	k_eff	kryl_iter	time
