shape	dist	trans	k_eff	kryl_iter	time
0.18	0.05	0	0.6248398885	6	51.978404395
0.18	0.05	1	0.651186983415	6	76.526456843
0.18	0.1	0	0.627742781304	6	9.508634616
0.18	0.1	1	0.76320022965	7	18.358405429
0.19	0.05	0	0.626389939571	6	44.861836099
0.19	0.05	1	0.721255685199	6	86.498480542
0.19	0.1	0	0.62750752153	6	8.684248174
0.19	0.1	1	0.763404300142	7	16.344855548
0.2	0.05	0	0.627048924861	6	52.982016895
0.1	0.05	0	49.6082492488	3	520.359319003
0.2	0.05	1	0.675161433397	6	60.569593307
0.2	0.1	0	0.627298975727	6	8.641722621
0.2	0.1	1	0.763760264823	7	15.338637714
0.21	0.05	0	0.627284520603	6	45.066194182
0.21	0.05	1	0.692846320758	6	65.278088918
0.21	0.1	0	0.627125625806	6	8.70713754
0.21	0.1	1	0.764466212715	7	14.371298183
0.22	0.05	0	0.627316674711	6	45.170708189
0.22	0.05	1	0.381847347341	9	147.201563448
0.22	0.1	0	0.626986830324	6	8.173767286
0.22	0.1	1	0.765528068163	7	11.833511574
0.23	0.05	0	0.627252188218	6	41.643483013
0.23	0.05	1	0.614495548473	6	57.744606673
0.23	0.1	0	0.626878510829	6	8.481071202
0.23	0.1	1	0.766875659142	6	9.5633521
0.24	0.05	0	0.627143355229	6	41.485718877
0.24	0.05	1	0.62915171028	6	50.58853594
0.24	0.1	0	0.626795699853	6	8.363013926
0.24	0.1	1	0.768419648537	6	9.283051279
0.25	0.05	0	0.627015694569	6	43.719442882
0.25	0.05	1	0.63399903403	6	47.173616757
0.25	0.1	0	0.626733643525	6	8.065846665
0.25	0.1	1	0.770076814197	6	9.293662532
0.26	0.05	0	0.626881561285	6	43.887357296
0.26	0.05	1	0.636264027714	6	47.007487873
0.26	0.1	0	0.626688136223	6	7.407731358
0.26	0.1	1	0.771779670687	6	8.703317961
0.27	0.05	0	0.626746860188	6	44.472747298
0.27	0.05	1	0.637509722626	6	46.0314879
0.27	0.1	0	0.626655631391	6	7.457465778
0.27	0.1	1	0.773477370872	6	8.914163731
0.28	0.05	0	0.626614407441	6	42.328088109
0.28	0.05	1	0.63827375273	6	42.584369935
0.28	0.1	0	0.62663319802	6	7.587314649
0.28	0.1	1	0.775134223945	6	8.776821237
0.29	0.05	0	0.626485524826	6	41.790557798
0.29	0.05	1	0.638792358486	6	44.473314048
0.29	0.1	0	0.626618441924	6	7.884068747
0.29	0.1	1	0.776727187039	6	8.365728823
0.3	0.05	0	0.626360854811	6	44.078879048
0.3	0.05	1	0.639186574757	6	43.977162426
0.3	0.1	0	0.626609423745	6	7.795309496
0.3	0.1	1	0.77824262407	6	8.011238541
0.4	0.05	0	0.625361001461	6	44.801417852
0.4	0.05	1	0.642633951639	6	41.692165111
0.4	0.1	0	0.626608215609	6	7.370694076
0.4	0.1	1	0.789169074463	6	8.675366093
0.5	0.05	0	0.624732503077	6	42.116672375
0.5	0.05	1	0.64483400214	6	44.278867625
0.5	0.1	0	0.626539991187	6	7.324908514
0.5	0.1	1	0.795567041773	6	8.35368077
0.6	0.05	0	0.624308990179	6	42.823077571
0.6	0.05	1	0.645589668296	6	42.538623138
0.6	0.1	0	0.626395837304	6	7.738057095
0.6	0.1	1	0.800229880917	6	8.194902553
0.7	0.05	0	0.623973948296	6	42.915027441
0.7	0.05	1	0.646455209443	6	44.854078248
0.7	0.1	0	0.626227392044	6	7.533547527
0.7	0.1	1	0.804012763467	6	7.948516609
0.8	0.05	0	0.62368208223	6	43.470544277
0.8	0.05	1	0.645288462695	6	44.393926681
0.8	0.1	0	0.626064239981	6	7.494140814
0.8	0.1	1	0.807221220868	6	8.515957158
0.9	0.05	0	0.623421075587	6	43.793479169
