shape	dist	k_eff	kryl_iter	time
0.3	0.25	0.516542904071	7	2.196638156
0.3	0.3	0.453652058912	7	2.023009648
0.3	0.35	0.576813088032	8	1.293273508
0.6	0.1	0.506853292296	6	18.454087481
0.6	0.15	0.507318913436	6	7.29876797
0.6	0.2	0.498017875457	7	3.417545754
0.6	0.25	0.49453839234	7	2.121184903
0.6	0.3	0.456264706544	7	1.75161359
0.6	0.35	0.50821879155	7	1.048860752
0.4	0.05	0.517829520842	6	70.025637067
0.4	0.1	0.50395453247	6	13.815066265
0.4	0.15	0.510815293608	6	5.76179039
0.4	0.2	0.504936822893	7	3.479080591
0.7	0.05	0.516381334242	6	67.472346649
0.4	0.25	0.502646669617	7	2.188520968
0.4	0.3	0.454106376102	7	1.537059548
0.4	0.35	0.53290017504	7	0.891735282
0.7	0.1	0.507255528616	6	13.715849778
0.7	0.15	0.506187170005	6	5.478956283
0.7	0.2	0.495781251347	7	3.32410654
0.7	0.25	0.492418308069	7	2.039164909
0.7	0.3	0.456186767075	7	1.525560114
0.7	0.35	0.501862883161	7	0.904806086
0.5	0.05	0.517161881897	6	67.567584807
0.5	0.1	0.505864233252	6	18.477542203
0.5	0.15	0.508781595723	6	7.21864502
0.5	0.2	0.500930480481	7	3.514680328
0.8	0.05	0.516199174713	6	76.842965586
0.5	0.25	0.497466407139	7	2.054965961
0.5	0.3	0.455584433478	7	1.785244212
0.5	0.35	0.517341898513	7	0.88404914
0.8	0.1	0.507354206408	6	14.991491377
0.8	0.15	0.505265688951	7	6.710727838
0.8	0.2	0.493946470814	7	3.523264566
0.8	0.25	0.490649689576	7	1.610785492
0.8	0.3	0.455621713189	7	1.519473109
0.8	0.35	0.496997160741	7	0.745783201
0.6	0.05	0.516677791018	6	54.825703961
1.1	0.15	0.503212516918	7	5.22767621
1.1	0.2	0.489715640386	7	2.772926994
1.1	0.25	0.486205412739	8	1.850613576
1.1	0.3	0.452777281367	8	1.386660893
1.1	0.35	0.487022523321	7	0.739847756
0.9	0.05	0.516083885077	6	48.818958677
0.9	0.1	0.50730732049	6	11.432347981
0.9	0.15	0.504486977061	7	5.657639175
0.9	0.2	0.492369782467	7	3.318641591
0.9	0.25	0.489063183508	7	1.959580835
0.9	0.3	0.454782897844	8	1.912443746
0.9	0.35	0.493066892539	7	1.210557935
1.2	0.05	0.51589711616	6	62.615380599
1.2	0.1	0.50690713832	6	12.601962579
1.2	0.15	0.502675764926	7	6.58677587
1.2	0.2	0.48856709926	7	2.71361694
1.2	0.25	0.484892709066	8	1.832625145
1.2	0.3	0.451743084417	8	1.493005786
1.2	0.35	0.484655516773	8	0.828825036
1.0	0.05	0.5160058916	6	55.209402156
1.0	0.1	0.507194906387	6	11.574992068
1.0	0.15	0.503810887291	7	5.407784813
1.0	0.2	0.490974184654	7	2.665927956
1.0	0.25	0.487591324382	7	1.679485145
1.0	0.3	0.453807031233	8	1.325093197
1.0	0.35	0.489794028715	7	0.879539111
1.3	0.05	0.515850423308	6	55.180795864
1.3	0.1	0.506757756073	6	10.745251861
1.3	0.15	0.502189724851	7	5.135382737
1.3	0.2	0.487510731421	7	2.562232454
1.3	0.25	0.48364552916	8	2.047609739
1.3	0.3	0.450734643272	8	1.312935132
1.3	0.35	0.482628026843	8	0.810301904
1.1	0.05	0.515947102731	6	48.748896219
1.1	0.1	0.507055539373	6	10.274600837
1.6	0.2	0.484783603656	8	2.958863798
1.6	0.25	0.480244605429	9	2.078881269
1.6	0.3	0.448004905137	9	1.498773075
1.6	0.35	0.478167206645	9	0.917883804
1.4	0.05	0.515804405709	6	47.740278468
1.4	0.1	0.506610879494	6	10.204073379
1.4	0.15	0.501746725501	8	5.79473127
1.4	0.2	0.486534066258	7	2.652134416
1.4	0.25	0.482458442789	8	1.847137045
1.4	0.3	0.449769150068	9	1.483875019
1.7	0.05	0.515663727854	6	47.433457663
1.4	0.35	0.480892679628	8	0.833889885
1.7	0.1	0.506195693868	6	10.544368795
1.7	0.15	0.500622967698	8	5.844924691
1.7	0.2	0.483996334066	8	2.963922411
1.7	0.25	0.479208868765	10	2.255577241
1.7	0.3	0.447216768659	10	1.661263759
1.7	0.35	0.477126421381	10	1.028152293
1.5	0.05	0.515758033564	6	48.21254399
1.5	0.1	0.506467945389	6	10.799036105
1.5	0.15	0.501340766236	8	5.963360629
1.5	0.2	0.485627443381	7	2.769189875
1.5	0.25	0.481325967583	9	2.355808804
1.5	0.3	0.448857089216	9	1.851893006
1.5	0.35	0.479415126276	8	0.878073845
1.8	0.05	0.515616249984	6	50.671762775
1.8	0.1	0.506066550913	6	14.431188102
1.8	0.15	0.500304389308	8	7.071202702
1.8	0.2	0.483260482387	8	3.406113176
1.8	0.25	0.478214231494	10	2.669874208
1.8	0.3	0.446496663323	11	2.133397659
1.8	0.35	0.476274741157	10	1.154783672
1.6	0.05	0.515711088723	6	58.578604928
1.6	0.1	0.506329495114	6	13.191146862
1.6	0.15	0.500967407029	8	6.693059107
2.1	0.25	0.475427042754	11	2.764622606
2.1	0.3	0.444788004765	12	2.293405786
2.1	0.35	0.474716026966	10	1.168428612
1.9	0.05	0.515568979402	6	56.569450857
1.9	0.1	0.505942011308	6	12.084778846
1.9	0.15	0.500009112542	9	7.6543874
1.9	0.2	0.482571512673	8	3.640276224
1.9	0.25	0.477255715106	10	2.567844591
1.9	0.3	0.445848415853	11	2.262330158
1.9	0.35	0.475597435643	10	1.196592364
2.2	0.05	0.515431125215	6	59.603275217
2.2	0.1	0.50559509322	7	14.28642457
2.2	0.15	0.499241665035	9	7.458259543
2.2	0.2	0.480747661223	8	3.534296874
2.2	0.25	0.474547267642	11	2.798916185
2.2	0.3	0.444392260045	12	2.316588855
2.2	0.35	0.474493101644	11	1.273387959
2.0	0.05	0.51552221236	6	55.193193566
2.0	0.1	0.505821983838	7	13.501371571
2.0	0.15	0.499734802434	9	7.497275059
2.0	0.2	0.481925387725	8	3.57970183
2.0	0.25	0.476328221294	11	2.870934605
2.0	0.3	0.445276589862	11	2.575850736
2.0	0.35	0.475081082508	10	1.328204283
2.3	0.05	0.515387144621	6	58.258698536
2.3	0.1	0.505487989111	7	15.590237531
2.3	0.15	0.49901958009	9	7.869500814
2.3	0.2	0.480210217492	8	3.647985985
2.3	0.25	0.473682804141	11	2.946021275
2.3	0.3	0.44410267284	12	2.381571364
2.3	0.35	0.47440476549	11	1.326809722
2.1	0.05	0.515476196227	6	59.020934558
2.1	0.1	0.505706384645	7	14.108616093
2.1	0.15	0.499479563703	9	8.015210113
2.1	0.2	0.481318328471	8	3.627606773
2.4	0.1	0.505384943365	7	14.830162278
2.4	0.15	0.498811952137	9	7.962048015
2.4	0.2	0.479703447444	9	4.122707987
2.4	0.25	0.472828281065	12	3.195861924
2.4	0.3	0.443937348819	12	2.429944567
2.4	0.05	0.515344356592	6	58.492007914
2.4	0.35	0.474444386021	11	1.287797394
2.6	0.3	0.444082346269	13	2.543339587
2.6	0.35	0.474884537218	12	1.593789356
2.5	0.05	0.515302828302	6	59.486951378
2.7	0.05	0.515223681968	6	59.469981107
2.5	0.1	0.505285822108	7	14.778389521
2.7	0.1	0.50509879461	7	14.546724793
2.5	0.15	0.498617264051	9	7.901847028
2.7	0.15	0.498263950717	9	8.126042462
2.5	0.2	0.479224855766	9	4.046331242
2.5	0.25	0.471977565766	12	3.264446866
2.7	0.2	0.47834388053	9	4.038312584
2.5	0.3	0.443920089546	13	2.620936376
2.7	0.25	0.470257880063	12	3.19077903
2.5	0.35	0.474606123793	11	1.385800884
2.7	0.3	0.444460383448	13	2.636900839
2.7	0.35	0.475275294238	12	1.557302686
2.6	0.05	0.515262598121	6	60.489267497
2.8	0.05	0.515186078783	6	60.620823655
2.6	0.1	0.505190486395	7	15.76499295
2.8	0.1	0.505010604626	7	13.973828152
2.6	0.15	0.498435012193	9	7.472000677
2.8	0.15	0.498103190824	9	7.309012887
