shape	dist	k_eff	kryl_iter	time
0.5	0.15	0.455655997046	7	1.157402559
0.5	0.2	0.455699063499	7	0.743684653
0.3	0.05	0.456278040009	6	13.484727737
0.8	0.05	0.455757781258	7	15.439209203
0.3	0.1	0.456222991772	6	2.721145038
0.6	0.05	0.455811124156	7	15.915457405
0.8	0.1	0.455757450756	7	2.985251495
0.3	0.15	0.460395848731	9	1.849374127
0.8	0.15	0.455454718568	7	1.322425471
0.3	0.2	0.456075925072	7	0.633785339
0.8	0.2	0.455585017846	7	0.739509911
0.6	0.1	0.455888564505	7	3.072818596
0.6	0.15	0.455547856644	7	1.319389463
0.6	0.2	0.455606599815	7	0.794705281
0.4	0.05	0.456119950668	6	14.312442936
0.9	0.05	0.455731672361	6	13.572673575
0.4	0.1	0.45612870749	6	2.641334775
0.9	0.1	0.455734838892	7	3.04841004
0.7	0.05	0.455783340997	7	15.74264521
0.4	0.15	0.455777806701	7	1.234495158
0.9	0.15	0.455452793575	7	1.234097168
0.4	0.2	0.45585712053	7	0.687975384
0.9	0.2	0.455633479821	7	0.658986499
0.7	0.1	0.455806768591	7	2.891818972
0.7	0.15	0.45548345285	7	1.483109047
0.7	0.2	0.455572343184	7	0.671398052
1.0	0.15	0.455470785898	7	1.297656163
1.0	0.2	0.455708235972	7	0.696922238
1.0	0.05	0.4557195931	6	13.357960796
0.5	0.05	0.456002873627	6	14.306470967
1.0	0.1	0.455732019147	7	3.361142451
0.5	0.1	0.456001958231	7	3.42740103
1.5	0.15	0.455713350751	7	1.281532215
1.5	0.2	0.456268337024	8	0.861982078
1.1	0.05	0.455713600872	6	14.357228067
1.1	0.1	0.455743063147	7	3.228575885
1.1	0.15	0.455503429337	7	1.407590096
1.1	0.2	0.455801748837	7	0.872102742
1.3	0.05	0.455713498259	7	18.063538467
1.3	0.1	0.45579009765	7	4.07186607
1.6	0.05	0.455678578188	7	18.790702559
1.3	0.15	0.455597583006	7	1.809873292
1.3	0.2	0.456023529653	8	0.880815797
1.6	0.1	0.455888168768	7	3.622750486
1.6	0.15	0.455775154406	7	1.276006915
1.2	0.05	0.455711763013	6	16.219326029
1.6	0.2	0.456393893719	8	0.840826801
1.2	0.1	0.455763486133	7	3.123280468
1.2	0.15	0.455546713263	7	1.427651396
1.2	0.2	0.455908267927	7	0.868297215
1.4	0.05	0.455720597316	7	20.419532655
1.7	0.05	0.455702138582	6	17.400550373
1.4	0.1	0.455820683541	7	4.247042289
1.4	0.15	0.455653716109	7	1.786359553
1.7	0.1	0.455923302758	7	4.203265499
1.4	0.2	0.45614430445	8	1.127565413
1.7	0.15	0.455838116898	8	1.869200396
1.8	0.05	0.455711087925	6	18.143377129
1.7	0.2	0.456519779054	8	1.150902658
2.0	0.15	0.456027386927	8	1.867143711
1.8	0.1	0.455958625254	7	4.245589949
2.0	0.2	0.456891829152	9	1.415219812
1.8	0.15	0.455901493051	8	1.98064885
1.8	0.2	0.456645118747	8	1.262863876
1.5	0.05	1.34998390619	6	20.756832282
1.5	0.1	0.455853722245	7	4.65919977
2.1	0.05	0.455729834606	6	19.748658829
1.9	0.05	0.45571782078	6	20.213845369
2.1	0.1	0.456062753416	7	4.558934481
2.1	0.15	0.456089187656	8	2.035903653
1.9	0.1	0.455993789571	7	4.582051646
2.1	0.2	0.457012513842	9	1.374751774
1.9	0.15	0.4559647212	8	2.111793403
1.9	0.2	0.456769292408	8	1.292877813
2.3	0.05	0.455741432703	6	19.848290677
2.3	0.1	0.45612903491	7	4.526654439
2.3	0.15	0.456209391519	8	2.214013203
2.3	0.2	0.45724757991	9	1.326789624
2.2	0.05	0.455735654734	6	19.878031876
2.0	0.05	0.455723933022	6	20.768424548
2.2	0.1	0.456096272234	7	4.748726893
2.2	0.15	0.456149906546	8	2.088607098
2.0	0.1	0.456028554578	7	4.535337497
2.2	0.2	0.457131131537	9	1.440938279
2.5	0.15	0.456324290428	8	2.251850928
2.5	0.2	0.457473841532	10	1.371591293
2.4	0.05	0.455747174798	6	17.857577194
2.4	0.1	0.456160993239	7	3.92287974
2.4	0.15	0.4562675409	8	2.304620022
2.4	0.2	0.457361817233	9	1.505693939
2.8	0.05	0.455769613899	6	20.986342973
2.6	0.05	0.455758521893	6	21.74504036
2.8	0.1	0.456280419011	7	4.836243926
2.8	0.15	0.456485862166	9	2.643231965
2.6	0.1	0.456222398653	7	4.972481672
2.8	0.2	0.457797151526	10	1.749478155
2.6	0.15	0.456379605107	8	2.56408181
2.6	0.2	0.457583700038	10	1.771319525
2.5	0.05	0.455752874706	6	22.21048368
2.5	0.1	0.456192118901	7	4.231835625
3.0	0.15	0.456586442418	9	2.613275277
3.0	0.2	0.458002821879	10	1.207861367
2.9	0.05	0.455775030204	7	17.722363981
2.7	0.05	0.455764105114	6	13.690801181
2.9	0.1	0.456308176839	7	3.049827155
2.7	0.1	0.456251830181	7	3.033114968
2.9	0.15	0.456536854469	9	1.605924178
2.9	0.2	0.457900911145	10	1.039169563
2.7	0.15	0.456433471786	8	1.53111912
2.7	0.2	0.457691444611	10	0.956786728
3.0	0.05	0.455780364343	7	14.008310549
3.0	0.1	0.456335119363	7	2.591859137
