shape	dist	k_eff	kryl_iter	time
0.5	0.15	0.27639597314	14	2.409008937
0.5	0.2	0.270675347538	14	1.433119994
0.3	0.05	0.289722978738	14	36.248467333
0.8	0.05	0.319346367602	17	42.483428737
0.6	0.05	0.287802967771	13	32.746314651
0.3	0.1	0.283842696726	13	6.885477308
0.3	0.15	1.8726377722	6	1.661557045
0.8	0.1	0.282961860336	13	6.859019288
0.6	0.1	0.283127189237	13	6.834638238
0.3	0.2	0.266173003621	15	1.827569427
0.8	0.15	0.277573220026	14	3.015587817
0.6	0.15	0.276880207001	14	3.078479177
0.8	0.2	0.272522776725	15	2.0945435
0.6	0.2	0.271459621324	14	1.912561157
0.4	0.05	0.28830410503	13	40.013878471
0.9	0.05	0.28776222947	12	35.486993307
0.7	0.05	0.287773988402	13	40.269424736
0.4	0.1	0.283470228648	13	8.360818798
0.9	0.1	0.282936287735	13	8.201828362
0.7	0.1	0.283023240031	13	8.581121234
0.4	0.15	0.275656967831	14	3.841768826
0.9	0.15	0.277868531501	14	3.696260466
0.4	0.2	0.269316216381	14	2.156029459
0.7	0.15	0.277252125049	14	3.702174474
0.9	0.2	0.272972800352	15	2.146189423
0.7	0.2	0.272034104317	14	1.926099528
1.0	0.15	0.278149479209	15	4.296607805
1.0	0.2	0.273403489542	15	2.018471219
1.0	0.05	0.28777811067	12	40.647725704
0.5	0.05	0.288060376899	13	46.583520431
1.0	0.1	0.282939004189	13	9.086640703
0.5	0.1	0.28327626029	13	9.386280669
1.1	0.05	0.2878007531	13	44.63624686
1.5	0.15	0.279480050851	16	4.990860228
1.5	0.2	0.275436846834	17	2.52938557
1.1	0.1	0.282963244778	13	8.890654753
1.1	0.15	0.278421920648	15	5.046519774
1.1	0.2	0.273823004608	15	2.3639968
1.3	0.05	0.287855845278	13	46.952286104
1.3	0.1	0.283055151195	14	10.434366833
1.6	0.05	0.287785779077	13	46.533385173
1.3	0.15	0.278953643122	15	4.883592527
1.3	0.2	0.274640497931	16	2.532916582
1.6	0.1	0.283249618661	14	10.361360896
1.2	0.05	0.287827013915	13	45.728460772
1.6	0.15	0.279744852499	17	5.110994533
1.6	0.2	0.275829385111	17	2.533626664
1.2	0.1	0.283003427708	14	9.939705499
1.2	0.15	0.278689241039	15	5.143318831
1.2	0.2	0.274234828297	16	2.441840654
1.4	0.05	0.287888572349	14	50.524301741
1.7	0.05	0.287918886351	13	45.054478243
1.4	0.1	0.283115028663	14	9.777556417
1.4	0.15	0.279216771546	16	4.604636425
1.7	0.1	0.283320962977	14	10.016481919
1.8	0.05	0.2879542825	13	44.693648587
1.4	0.2	0.275040902603	17	3.016972652
1.7	0.15	0.280012611744	17	5.111102299
1.7	0.2	0.276220006326	17	2.177041024
1.8	0.1	0.283393454688	14	8.530751168
2.0	0.15	0.280850601407	17	3.227365909
1.8	0.15	0.280284913049	17	3.306057069
2.0	0.2	0.277405070176	19	2.011134215
1.8	0.2	0.276610765319	18	2.145944236
1.5	0.05	1.35023916533	7	23.907739765
1.5	0.1	0.283180493765	14	7.812380869
2.1	0.05	0.288028403937	13	35.14631638
1.9	0.05	0.287981574474	13	34.966699402
2.1	0.1	0.283610857996	14	8.602170192
1.9	0.1	0.283466299262	14	8.503771199
2.1	0.15	0.281148477739	19	4.307533537
1.9	0.15	0.280563549307	17	3.552649382
2.1	0.2	0.277817681069	20	2.107344648
1.9	0.2	0.277004506535	17	1.79882922
2.3	0.05	0.2880697384	13	36.263722972
2.3	0.1	0.283751607156	14	8.159705348
2.3	0.15	0.281788636647	20	5.049938607
2.3	0.2	0.278710095225	21	2.607029276
2.2	0.05	0.288049618071	13	37.802820513
2.0	0.05	0.288005874482	13	37.819908916
2.2	0.1	0.283681831189	14	7.164540653
2.0	0.1	0.283538910265	14	7.538349153
2.2	0.15	0.281460039152	20	4.553303841
2.5	0.15	0.282513656907	22	5.106492354
2.2	0.2	0.278249440792	20	2.495165299
2.5	0.2	0.279776753388	23	3.048555977
2.4	0.05	0.288088896217	13	33.617459348
2.4	0.1	0.28382003148	14	6.622733361
2.4	0.15	0.282138263845	21	3.932775632
2.4	0.2	0.279213061383	22	2.304665964
2.8	0.05	0.288157431555	13	29.399007472
2.6	0.05	0.288124662827	13	29.472579993
2.8	0.1	0.284078667987	15	7.347385754
2.6	0.1	0.283952451029	15	7.101363946
2.8	0.15	0.283856077184	24	4.857054612
2.6	0.15	0.282920451845	23	4.931414646
2.8	0.2	0.282110762586	26	2.616399454
2.6	0.2	0.280425858572	24	2.469454615
2.5	0.05	0.28810718145	13	29.802242355
2.5	0.1	0.283887000382	14	6.232210338
3.0	0.15	0.285012799135	27	5.172048606
3.0	0.2	0.284526531328	29	2.85951885
2.9	0.05	0.288172810265	13	28.099823076
2.7	0.05	0.288141396741	13	27.793648183
2.9	0.1	0.284139425456	15	5.732297684
2.7	0.1	0.284016344339	15	5.57521936
2.9	0.15	0.28440180679	26	3.95367226
2.7	0.15	0.283365314819	23	3.49818725
2.9	0.2	0.283216007936	27	2.209532396
2.7	0.2	0.281191858438	25	2.060640552
3.0	0.05	0.288187571539	13	25.333121499
3.0	0.1	0.284198635528	16	5.755995223
