shape	dist	k_eff	kryl_iter	time
0.5	0.15	0.291740474092	14	2.579068373
0.5	0.2	0.299758073359	14	1.40497868
0.3	0.05	0.292803827482	13	32.076113033
0.8	0.05	0.321233435195	14	36.210393386
0.3	0.1	0.293684389172	13	7.357398539
0.6	0.05	0.292377627403	14	37.820455688
0.8	0.1	0.293493388708	13	7.316958394
0.3	0.15	0.291689929411	14	3.48699076
0.8	0.15	0.292798410083	14	3.357926245
0.3	0.2	0.309778039241	14	1.973095345
0.6	0.1	0.293601252221	13	7.160863824
0.8	0.2	0.298455569107	14	1.846913671
0.6	0.15	0.292158736032	14	3.815787486
0.6	0.2	0.298857698263	14	1.684213976
0.9	0.05	0.28776222947	12	32.643624273
0.7	0.05	0.287773988402	13	37.166751628
0.9	0.1	0.29349523794	13	8.117539014
0.4	0.05	0.29283437176	13	38.736660473
0.9	0.15	4.53531515203	5	1.643987608
0.9	0.2	0.298548844514	14	1.887277408
0.7	0.1	0.293525469768	13	8.191230289
0.4	0.1	0.293837674541	13	8.230320652
0.7	0.15	0.29249418927	14	3.720930201
0.4	0.15	0.291260721156	14	4.423580145
0.7	0.2	0.298519034339	14	1.851210352
0.4	0.2	0.302109430272	14	2.03167458
1.0	0.15	0.317851483682	16	4.117837533
1.0	0.2	0.298740773598	14	2.227349896
1.0	0.05	0.292478455596	13	43.567213203
1.0	0.1	0.293521448577	13	8.977468361
0.5	0.05	0.292761691634	12	40.387110735
0.5	0.1	0.293721251202	13	7.83403275
1.1	0.05	0.293034618429	14	46.21493203
1.5	0.15	0.294358210737	16	4.620189962
1.5	0.2	0.300406661052	16	2.495823864
1.1	0.1	0.293564569782	13	8.912080226
1.1	0.15	0.293115385442	16	4.752039359
1.1	0.2	0.298999365964	14	2.003678864
1.3	0.05	0.293330305195	13	44.203567604
1.3	0.1	0.293681494912	14	10.09229487
1.3	0.15	0.293821928903	15	4.681386574
1.6	0.05	0.293505452717	11	38.104740397
1.3	0.2	0.29964697757	15	2.465893981
1.6	0.1	0.29389111938	14	10.439124644
1.2	0.05	0.293225948688	14	48.111446601
1.6	0.15	0.294619141079	16	4.421930078
1.6	0.2	0.300815910559	16	2.407843054
1.2	0.1	0.293619196407	13	8.922650829
1.2	0.15	0.293527211484	15	4.200621389
1.2	0.2	0.299305487418	15	2.526889616
1.4	0.05	0.293402037755	13	44.70838574
1.4	0.1	0.293748763276	14	9.782624376
1.7	0.05	0.293547133201	11	37.86541865
1.4	0.15	0.294093877349	16	4.789090693
1.4	0.2	0.300015828825	15	2.359097288
1.7	0.1	0.293963893536	14	9.74692381
1.8	0.05	0.293584871257	11	37.878372381
1.7	0.15	0.294878052488	16	4.464143795
1.7	0.2	0.301241326108	17	2.779710982
1.8	0.1	0.294036732866	15	10.591500513
2.0	0.15	0.295645620716	18	5.102402415
2.0	0.2	0.302605969538	17	2.524227287
1.8	0.15	0.295135385406	17	4.863870302
1.8	0.2	0.3016816571	17	2.680179781
1.5	0.05	0.293458152112	12	41.546088165
1.5	0.1	0.293819089427	14	8.455031563
2.1	0.05	0.293682401566	12	34.143920866
1.9	0.05	0.29361963166	12	35.384183056
2.1	0.1	0.294251615475	15	10.249561542
1.9	0.1	0.294109166166	15	10.472776137
2.1	0.15	0.295898389333	18	5.018923466
2.1	0.2	0.303090999348	18	2.169583286
1.9	0.15	0.295391256177	17	4.124908885
2.3	0.05	0.293738247263	12	39.323419862
1.9	0.2	0.302136461079	17	2.6107379
2.3	0.1	0.294389781518	16	10.945601662
2.3	0.15	0.296398474332	18	4.793780231
2.3	0.2	0.304113302474	19	3.111457945
2.2	0.05	0.293711079881	12	41.21740388
2.0	0.05	0.29365201049	12	41.485811877
2.2	0.1	0.294321278332	15	10.499298976
2.0	0.1	0.294180866046	15	10.526606185
2.2	0.15	0.29614941169	18	5.274667506
2.2	0.2	0.303592865405	19	2.952777029
2.5	0.15	0.296889297066	19	5.426768544
2.4	0.05	0.293764059007	12	39.278038635
2.5	0.2	0.305218194555	21	2.525650508
2.4	0.1	0.294457088266	16	8.166007045
2.4	0.15	0.296645258505	19	4.661778781
2.4	0.2	0.304654374216	20	2.892656049
2.8	0.05	0.293855933286	13	37.629540184
2.6	0.05	0.293812088901	12	33.986759892
2.8	0.1	0.294714775016	17	10.892900826
2.6	0.1	0.294588154909	16	7.83606461
2.8	0.15	0.297595557165	22	4.885582944
2.6	0.15	0.297129864294	20	4.877998006
2.8	0.2	0.307055543009	24	3.345957161
2.5	0.05	0.293788638839	12	33.572394992
2.6	0.2	0.305806539562	21	2.923005091
2.5	0.1	0.29452320332	16	8.302929168
3.0	0.15	0.298023784208	24	4.750256558
3.0	0.2	0.30831977901	27	3.441282446
2.9	0.05	0.293876468075	13	32.370898768
2.7	0.05	0.293834495416	13	32.291999798
2.9	0.1	0.294776579526	17	8.40489288
2.7	0.1	0.294651991299	16	8.103894105
2.9	0.15	0.297816299513	23	4.937872042
2.7	0.15	0.297365851602	20	4.740913132
2.9	0.2	0.30770160589	25	3.492009071
2.7	0.2	0.306419949964	23	3.124001162
3.0	0.05	0.293896158092	13	32.479035722
3.0	0.1	0.294837489185	17	8.592727352
