shape	dist	k_eff	kryl_iter	time
0.5	0.15	0.306164911904	25	3.982147613
0.5	0.2	0.310943847733	29	2.300178851
0.3	0.05	0.307524904996	14	28.422230908
0.6	0.05	0.307139059842	11	23.1805154
0.3	0.1	0.308237801848	23	10.209624354
0.6	0.1	0.307907300947	21	9.434369758
0.3	0.15	0.304980990277	35	6.582634273
0.6	0.15	0.306586045162	23	4.093209068
0.3	0.2	0.315047570669	34	3.5442877
0.6	0.2	0.310570769875	26	2.682758875
0.4	0.05	0.307571459297	13	28.50107385
0.4	0.1	0.308231756812	22	9.741579674
0.4	0.15	0.305566185404	29	5.230001278
0.4	0.2	0.311962072912	32	3.144166734
0.5	0.05	0.307475319451	12	24.791151748
0.5	0.1	0.308057323935	22	9.118362887
0.7	0.05	0.30424120258	71	154.611455898
0.7	0.1	0.307809469985	10	4.447047927
1.0	0.15	0.312480064719	0	37.433986404
0.7	0.15	0.306908761035	22	4.027667639
1.0	0.2	0.310923045813	26	2.612169551
0.7	0.2	0.31048282838	20	1.98107535
1.3	0.05	0.307693732074	12	25.661023864
1.3	0.1	0.307853594242	12	5.203833811
1.1	0.05	0.307475198953	19	41.848505207
1.3	0.15	0.308055931079	22	4.354940319
1.1	0.1	0.307770201599	11	5.115663515
1.3	0.2	0.31175815237	29	2.983100731
1.1	0.15	0.30746550528	10	1.735310299
1.1	0.2	0.311177716165	27	2.996102367
1.4	0.05	0.307747959344	12	25.442009457
0.8	0.05	0.327058835711	0	437.469589877
1.2	0.05	0.307615838941	11	25.592392927
1.4	0.1	0.307905092497	13	6.10692161
0.8	0.1	0.307755041921	21	10.0208069
1.4	0.15	0.30828248715	23	4.172654986
0.8	0.15	0.307197397555	21	3.858615089
1.2	0.1	0.307807056411	21	9.520822925
1.4	0.2	0.312070847111	30	3.112420299
0.8	0.2	0.310548996424	21	2.123246132
1.2	0.15	0.307806440213	22	4.196672552
1.2	0.2	0.311461747295	13	1.434450896
1.5	0.15	0.308499254596	24	4.367617819
1.5	0.2	0.312393245491	31	3.487518921
1.5	0.05	0.307790873322	12	25.572124205
1.5	0.1	0.30796024697	13	6.286718715
1.6	0.05	0.307827476515	12	25.966481154
1.6	0.1	0.308017556292	14	8.242317555
1.6	0.15	0.308710198763	24	5.904901006
1.6	0.2	0.312722954858	31	4.008733648
1.8	0.05	0.307889955899	12	31.975601312
1.8	0.1	0.308134929197	16	9.38981956
1.8	0.15	0.30911968043	24	6.051679747
1.8	0.2	0.313398684167	22	2.879785354
1.7	0.05	0.30786010133	12	32.28046258
1.7	0.1	0.308076029849	15	8.926917392
1.7	0.15	0.308916809904	24	5.993410301
1.7	0.2	0.313058294913	32	4.910321546
1.9	0.05	0.307917720403	12	32.883419943
2.0	0.15	0.30951507069	22	5.149611468
2.0	0.2	0.31408985745	29	3.70785134
1.9	0.1	0.308193722593	17	9.751067125
1.9	0.15	0.309319043924	23	5.987280586
1.9	0.2	0.313742340441	25	2.805426399
2.1	0.05	0.307968476897	12	30.947101733
2.1	0.1	0.308309602585	20	11.347446036
2.0	0.05	0.307943805801	12	30.609252258
2.1	0.15	0.309707880135	21	4.871535429
2.1	0.2	0.314441163537	32	4.133077288
2.0	0.1	0.308252029615	18	10.496121081
2.2	0.05	0.307991914984	12	31.399424452
2.3	0.05	0.308014251114	12	31.533022494
2.2	0.1	0.30836622004	21	11.422286128
2.3	0.1	0.308421793842	23	13.190751409
2.2	0.15	0.309897600947	20	4.553769368
2.3	0.15	0.310084372614	19	4.416241891
2.2	0.2	0.314796457327	35	4.428834625
2.3	0.2	0.315156125168	37	4.620038506
2.5	0.15	0.310449515428	18	4.047478498
2.5	0.2	0.315891153256	41	5.783059625
2.4	0.05	0.308035585359	12	33.429725068
0.9	0.05	0.302364469215	0	554.64759213
2.6	0.05	0.308075553202	12	31.939591702
2.4	0.1	0.308476206861	24	14.412750405
0.9	0.1	0.307736918677	21	12.437898137
0.9	0.15	4.07654212527	9	2.302216872
2.4	0.15	0.310265001331	41	9.141637849
2.6	0.1	0.308581479746	27	14.95138832
0.9	0.2	0.310706905474	24	3.285253775
2.4	0.2	0.31552077506	39	5.000058872
2.6	0.15	0.310619259013	50	12.064133543
2.6	0.2	0.316268145724	42	5.077615574
2.5	0.05	0.308055997345	12	32.546180971
2.7	0.05	0.308094309471	12	33.219270133
2.5	0.1	0.308529433436	25	15.532795834
2.7	0.1	0.3086323035	28	17.631352331
1.0	0.05	0.307091213669	31	91.459218744
2.7	0.15	0.310790995045	54	13.408953237
1.0	0.1	0.307744242757	21	12.255063632
2.7	0.2	0.316652817351	43	5.699801557
2.8	0.05	0.308112315555	12	28.97291761
3.0	0.15	0.311281960806	70	15.409240511
3.0	0.2	0.317865908666	44	4.320003878
2.8	0.1	0.308681941521	29	10.865337465
2.8	0.15	0.310958880055	59	8.051703478
2.8	0.2	0.317046377383	43	3.560004724
2.9	0.05	0.308129615715	12	21.763928666
2.9	0.1	0.308730420591	30	11.235472582
2.9	0.15	0.31112267232	64	9.918269872
2.9	0.2	0.317450198798	44	3.105272875
3.0	0.05	0.30814624984	12	19.584002168
3.0	0.1	0.308777798973	32	11.487833744
